Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Team Stack,Enemy Stack,Role 1,Role 2,Result,Streak,Leaver?,Map,Match Time,Elim,Elim_career,Elim_medal,Obj_kills,Obj_kills_career,Obj_kills_medal,Obj_time,Obj_time_career,Obj_time_medal,Dmg,Dmg_career,Dmg_medal,Heal,Heal_career,Heal_medal,Death,Death_career
132,2236,2236,0,2230,2240,1,1,Tank,,Draw,0,No,Hollywood,20:33,21,19.72,None,9,11.64,None,03:34,01:31,Silver,8143,5192,None,0,6558,None,23,6.94
133,2236,2213,-23,P,2233,2,1,Support,Offense,Loss,-1,No,Numbani,14:36,16,19.64,Silver,7,11.57,Silver,01:18,01:31,None,8579,5199,Silver,6336,6537,Silver,10,6.94
134,2213,2188,-25,2187,2179,1,1,Tank,,Loss,-2,No,Watchpoint: Gibraltar,04:46,4,19.6,Bronze,4,11.56,Gold,01:31,01:31,Gold,1873,5195,None,0,6516,None,5,6.95
135,2188,2165,-23,2185,2188,3,3,Offense,Tank,Loss,-3,No,Hanamura,10:43,12,19.55,Bronze,5,11.52,None,00:37,01:31,Bronze,4439,5188,None,0,6472,None,9,6.96
136,2165,2194,29,2168,2190,2,2,Support,,Win,1,No,Route 66,09:04,24,22.34,Bronze,13,13.27,Gold,02:19,01:35,Gold,4483,5475,None,9469,7978,Gold,4,6.49
137,2194,2218,24,2172,2173,1,2,Support,,Win,2,No,Dorado,15:17,36,19.62,Gold,18,11.53,Gold,02:54,01:31,Silver,11472,5212,None,9434,6490,Silver,9,6.94
138,2218,2195,-23,2235,2234,1,1,Support,,Loss,-1,No,Ilios,14:27,18,19.56,None,14,11.52,Silver,02:28,01:32,Bronze,5703,5201,None,8672,6487,Silver,16,6.98
139,2195,2219,24,2220,2232,1,1,Support,,Win,1,No,Horizon Lunar Colony,15:53,18,19.48,None,10,11.47,None,00:56,01:31,None,4738,5181,None,15893,6525,Gold,13,6.99
140,2219,2244,25,2231,2229,2,2,Support,,Win,2,No,Oasis,10:01,14,15.58,None,11,10.04,None,02:08,01:48,Gold,3056,3453,None,7242,8065,Gold,7,8.06
141,2244,2265,21,2245,2234,2,2,Tank,,Win,3,No,Blizzard World,14:31,28,14.9,None,14,9.49,Silver,05:20,01:51,Gold,6816,4832,None,0,0,None,9,7.22
142,2265,2246,-19,2269,2298,3,2,Support,,Loss,-1,No,Eichenwalde,16:08,28,22.16,None,16,13.13,Bronze,02:10,01:35,Bronze,5369,6451,None,18109,8006,Gold,9,6.51
143,2246,2221,-25,2218,2215,1,2,Tank,Support,Loss,-2,No,Hollywood,14:40,14,19.35,None,8,11.39,Silver,02:08,01:32,Bronze,5696,5136,None,7306,6506,Silver,16,7.01
144,2221,2250,29,2223,2226,3,2,Support,,Win,1,No,Eichenwalde,11:49,31,22.2,Gold,19,13.16,Gold,02:36,01:35,Silver,6140,5449,None,12139,8031,Silver,5,6.49
145,2250,2221,-29,P,2251,4,3,Support,,Loss,-1,No,Volskaya Industries,08:35,1,19.31,None,0,11.36,None,00:31,01:32,Bronze,1408,5120,None,5720,6535,Gold,9,7.01
146,2221,2195,-26,P,P,2,2,Tank,,Loss,-2,No,Junkertown,12:10,10,19.23,Bronze,4,11.31,Bronze,01:51,01:32,Silver,5795,5117,Bronze,1552,6497,None,14,7.04
147,2195,2216,21,2185,2185,1,2,Support,,Win,1,No,Ilios,07:34,14,22.15,None,11,13.15,Gold,01:13,01:35,Bronze,3614,5442,None,4456,8014,Silver,4,6.49
148,2216,2238,22,2185,2185,1,2,Defense,Support,Win,2,No,Hollywood,19:46,34,19.21,None,16,11.29,None,03:31,01:32,Bronze,10261,5118,None,6498,6460,None,14,7.03
149,2238,2260,22,2227,2222,4,4,Defense,Support,Win,3,No,Volskaya Industries,18:03,32,19.2,None,22,11.3,None,02:49,01:33,Bronze,9602,5122,None,8310,6442,Silver,15,7.05
150,2260,2288,28,2249,2240,2,2,Support,,Win,4,No,Nepal,14:19,34,19.24,Bronze,25,11.35,Gold,02:20,01:33,Gold,8507,5130,None,13294,6467,Silver,9,7.05
151,2288,2263,-25,2303,2301,1,1,Tank,Support,Loss,-1,No,Route 66,23:15,20,19.1,None,17,11.3,Bronze,04:59,01:33,Gold,8686,5112,None,1811,6392,None,21,7.07
152,2263,2289,26,2242,2244,2,2,Support,,Win,1,No,Blizzard World,13:26,26,22.15,None,19,13.21,Gold,02:33,01:35,Gold,5839,5434,None,11590,8047,Gold,6,6.46
153,2289,2272,-17,2275,2315,3,2,Support,,Loss,-1,No,Temple of Anubis,14:39,43,22.25,Gold,22,13.24,Gold,01:29,01:35,Bronze,9964,5453,Bronze,15099,8079,Gold,10,6.47
154,2272,2244,-28,2245,2241,1,1,Support,,Loss,-2,No,King's Row,13:13,16,19.14,None,9,11.32,Bronze,02:20,01:33,Bronze,5717,5116,None,10369,6454,Gold,11,7.06
155,2244,2223,-21,2249,2249,1,1,Support,Defense,Loss,-3,No,Numbani,15:34,26,19.12,Gold,15,11.31,Gold,02:27,01:33,Bronze,8564,5120,Silver,4839,6426,Bronze,12,7.07
156,2223,2245,22,2236,2245,3,2,Tank,,Win,1,No,Hollywood,12:33,32,19.17,None,24,11.36,Silver,04:51,01:34,Gold,6867,5123,None,2482,6396,Bronze,4,7.04
157,2245,2223,-22,2249,2251,1,1,Support,,Loss,-1,No,Lijiang Tower,09:40,15,22.13,Silver,6,13.15,None,01:22,01:35,None,5642,5461,Bronze,7537,8069,Silver,10,6.52
158,2223,2203,-20,2235,2246,1,1,Tank,Support,Loss,-2,No,Volskaya Industries,07:44,11,19.13,Silver,5,11.32,Gold,00:27,01:34,Gold,4415,5130,Gold,3818,6397,Gold,7,7.07
159,2203,2182,-21,2171,2179,2,2,Support,Tank,Loss,-3,No,Oasis,09:30,10,19.09,Bronze,5,11.29,Silver,02:41,01:34,Gold,6370,5139,Silver,3143,6382,Silver,8,7.08
160,2182,2214,32,2169,2173,1,1,Support,,Win,1,No,Horizon Lunar Colony,05:19,20,22.16,Gold,17,13.19,Gold,00:38,01:35,Silver,4374,5481,Bronze,3442,8067,Gold,1,6.51
161,2214,2238,24,2190,2184,1,2,Tank,,Win,2,No,Junkertown,11:52,29,15.13,Silver,23,10.07,Gold,04:03,01:55,Gold,7553,5052,None,0,0,None,8,7.41
162,2238,2214,-24,2218,2236,2,2,Tank,,Loss,-1,No,Ilios,13:33,14,14.84,None,8,9.81,Bronze,02:04,01:54,Gold,6634,5049,None,0,0,None,13,7.56
163,2214,2240,26,2182,2181,1,1,Support,,Win,1,No,Volskaya Industries,11:16,31,19.17,None,19,11.39,Gold,00:47,01:35,None,4440,5148,None,6795,6297,Gold,4,7.06
164,2240,2266,26,2246,2233,2,3,Support,,Win,2,No,King's Row,15:20,39,19.22,Silver,25,11.43,Silver,02:15,01:34,Silver,10568,5162,Bronze,14117,6321,Silver,8,7.04
165,2266,2287,21,2253,2249,3,3,Defense,Tank,Win,3,Enemy team,Eichenwalde,16:19,36,19.25,Bronze,12,11.4,None,02:14,01:34,None,11929,5182,Silver,448,6271,Bronze,12,7.05
166,2287,2262,-25,2293,2263,4,5,Support,,Loss,-1,No,Lijiang Tower,10:11,14,22.17,None,10,13.23,Silver,01:11,01:34,Silver,4223,5481,None,10163,8089,Gold,10,6.5
167,2262,2279,17,2215,2231,3,3,Defense,Tank,Win,1,No,Junkertown,14:42,23,19.2,None,9,11.36,None,01:05,01:34,None,7479,5176,None,0,6244,None,12,7.07
168,2279,2302,23,2339,2352,1,1,Support,,Win,2,No,Volskaya Industries,12:44,18,22.09,None,9,13.17,Silver,00:30,01:33,None,4099,5459,None,12086,8104,Gold,10,6.51
169,2302,2323,21,2300,2326,3,2,Support,,Win,3,No,Volskaya Industries,13:02,17,19.13,None,6,11.29,None,00:21,01:33,None,5081,5156,None,10763,6279,Gold,6,7.06
170,2323,2354,31,2302,2301,1,1,Support,,Win,4,No,Route 66,07:26,1,0.57,None,0,0.14,None,00:42,01:04,Silver,180,85.29,None,12189,9690,Gold,0,5.72
171,2354,2329,-25,2349,2352,1,1,Support,Defense,Loss,-1,My team,Hollywood,13:19,8,18.97,Silver,4,11.19,Gold,00:15,01:32,Silver,6265,5135,Silver,10709,6329,Gold,8,7.03
172,2329,2307,-22,2292,2302,2,2,Support,,Loss,-2,No,Volskaya Industries,10:39,9,18.92,None,6,11.16,Gold,01:03,01:32,Silver,3035,5123,None,8095,6336,Gold,11,7.05
173,2307,2285,-22,2233,2230,1,1,Tank,Support,Loss,-3,No,Watchpoint: Gibraltar,14:01,26,18.92,Gold,15,11.16,Gold,02:12,01:32,Silver,7325,5124,Bronze,7255,6328,Silver,12,7.06
174,2285,2310,25,2233,2212,1,1,Support,,Win,1,No,Horizon Lunar Colony,17:14,22,18.87,None,10,11.12,Bronze,01:14,01:32,Gold,5770,5111,None,16135,6356,Gold,14,7.07
175,2310,2289,-21,P,2316,5,4,Tank,Defense,Loss,-1,No,Eichenwalde,09:36,12,18.84,Gold,4,11.08,Gold,00:34,01:31,Gold,7334,5123,Gold,0,6327,None,8,7.08
176,2289,2261,-28,2286,2286,2,2,Tank,,Loss,-2,No,Route 66,06:16,7,18.82,None,5,11.07,Silver,01:10,01:32,None,2904,5121,None,1164,6313,None,6,7.08
177,2261,2237,-24,2244,2249,1,2,Support,Tank,Loss,-3,My team,Numbani,11:37,10,18.76,Bronze,5,11.04,None,01:02,01:31,Silver,3857,5112,Bronze,4517,6300,Gold,9,7.09
178,2237,2258,21,2240,2246,2,2,Tank,,Win,1,No,Oasis,15:10,29,18.77,Bronze,20,11.05,Gold,03:49,01:32,Gold,7153,5109,None,0,6255,None,9,7.08
179,2258,2277,19,2309,2263,1,2,Defense,,Win,2,No,Horizon Lunar Colony,15:29,25,12,None,12,11.03,None,01:00,01:31,None,10434,5123,Bronze,0,6210,None,10,7.08
180,2277,2254,-23,2299,2277,3,3,Tank,,Loss,-1,No,Lijiang Tower,11:05,15,18.73,Silver,10,11.02,Gold,02:19,01:32,Gold,6709,5129,Bronze,2477,6190,Bronze,7,7.07
181,2254,2235,-19,2248,2246,1,2,Tank,Support,Loss,-2,No,Eichenwalde,13:12,30,18.76,Bronze,20,11.05,Gold,04:13,01:32,Silver,7681,5133,Bronze,5926,6180,Silver,8,7.07
182,2235,2214,-21,2246,2236,2,1,Support,,Loss,-3,No,Hanamura,06:48,6,18.73,Gold,2,11.03,Silver,00:36,01:32,Silver,3028,5131,None,6575,6192,Gold,7,7.08
183,2214,2240,26,2186,2179,1,1,Support,,Win,1,No,Dorado,12:28,21,18.71,None,16,11.04,Gold,02:28,01:32,Silver,5080,5125,None,8305,6194,Gold,8,7.08
184,2240,2266,26,2227,2228,3,2,Support,,Win,2,No,Hollywood,14:08,36,22.09,Bronze,26,13.19,Gold,02:59,01:34,Silver,7123,5460,None,11587,8121,Gold,8,6.48
185,2266,2290,24,2244,2237,1,1,Tank,,Win,3,No,Horizon Lunar Colony,11:13,20,15.22,None,10,9.79,Silver,01:14,01:47,Gold,5020,4983,Bronze,0,0,None,3,7.32
186,2290,2313,23,2294,2294,1,2,Tank,Support,Win,4,No,Temple of Anubis,19:38,27,18.72,None,13,11.04,Gold,02:16,01:32,Gold,8058,5114,None,1949,6131,Bronze,12,7.04
187,2313,2289,-24,2304,2299,1,1,Tank,,Loss,-1,My team,Nepal,07:06,6,14.98,Bronze,3,9.57,Silver,00:20,01:44,Bronze,4135,5010,Silver,0,0,None,9,7.45
188,2289,2267,-22,2248,2252,1,1,Support,Tank,Loss,-2,No,Temple of Anubis,17:48,23,18.64,None,13,10.99,None,02:17,01:32,Gold,6275,5105,None,9183,6106,Silver,8,7.04
189,2267,2242,-25,2189,2186,1,1,Tank,,Loss,-3,No,Volskaya Industries,12:31,17,18.62,Silver,11,10.98,Gold,01:26,01:32,Gold,5890,5103,Silver,0,6072,None,8,7.03
190,2242,2267,25,2220,2228,2,3,Support,,Win,1,No,Ilios,09:30,20,15.36,None,12,10,None,02:37,01:50,Silver,4611,3543,None,8568,8221,Gold,3,8.06
191,2267,2249,-18,2241,2239,1,2,Support,,Loss,-1,No,Blizzard World,13:30,20,18.61,Silver,11,10.97,Gold,02:20,01:32,Gold,7236,5105,None,13068,6107,Gold,10,7.02
192,2249,2266,17,2236,2244,2,2,Defense,Offense,Win,1,No,Watchpoint: Gibraltar,16:27,29,18.6,Bronze,8,10.92,Silver,01:28,01:32,None,11960,5120,Silver,0,6062,None,11,7.02
193,2266,2289,23,2226,2235,2,1,Support,,Win,2,No,Horizon Lunar Colony,09:59,24,18.62,None,11,10.93,Bronze,01:07,01:32,Bronze,5111,5121,None,7567,6069,Silver,6,7.02
194,2289,2268,-21,2285,2299,3,3,Support,,Loss,-1,No,Numbani,14:48,19,18.59,None,13,10.91,Gold,03:17,01:32,Bronze,5208,5111,None,15578,6099,Gold,9,7.01
195,2268,2298,30,2243,2237,2,2,Support,,Win,1,No,Watchpoint: Gibraltar,15:58,52,22.14,Silver,37,13.24,Gold,03:38,01:34,Gold,10820,5474,None,16810,8162,Gold,8,6.48
196,2298,2276,-22,2297,2283,2,2,Support,,Loss,-1,My team,Volskaya Industries,12:14,18,18.67,Silver,11,10.99,Gold,01:01,01:32,Silver,4759,5116,None,7513,6130,Silver,8,6.99
197,2276,2249,-27,2283,2290,2,2,Tank,,Loss,-2,No,Nepal,08:37,4,18.61,None,1,10.95,None,01:02,01:32,None,3631,5113,None,0,6108,None,12,7.02
198,2249,2226,-23,2226,2237,3,3,Tank,,Loss,-3,My team,King's Row,11:39,7,18.55,None,5,10.92,Bronze,03:25,01:32,Gold,4286,5106,None,0,6078,None,12,7.04
199,2226,2249,23,2226,P,2,3,Tank,,Win,1,Enemy team,Junkertown,16:58,30,18.55,Bronze,22,10.93,Gold,05:04,01:33,Gold,7156,5100,None,2170,6043,Bronze,10,7.03
200,2249,2224,-25,2237,2242,2,2,Tank,,Loss,-1,No,Watchpoint: Gibraltar,09:50,9,11.76,None,3,5.73,None,01:34,01:25,Silver,5199,4528,None,0,0,None,5,7.84
201,2224,2245,21,2239,2254,3,2,Support,Tank,Win,1,No,Blizzard World,08:28,20,18.53,Bronze,3,10.88,Bronze,00:13,01:33,None,4154,5100,None,3711,6012,Silver,5,7.02
202,2245,2267,22,2249,2238,2,2,Support,,Win,2,No,Hollywood,14:01,12,18.47,None,8,10.85,None,02:22,01:33,Gold,2106,5079,None,9799,6018,Silver,12,7.03
203,2267,2293,26,2234,2234,2,2,Support,,Win,3,No,Oasis,15:12,26,18.46,None,19,10.86,Bronze,02:01,01:33,Silver,6581,5075,None,11212,6028,Gold,12,7.03
204,2293,2316,23,2270,2259,4,4,Support,,Win,4,No,Lijiang Tower,11:33,10,18.42,None,6,10.83,None,01:32,01:33,None,3141,5065,None,8983,6037,Gold,10,7.04
205,2316,2294,-22,2257,2260,2,1,Support,Tank,Loss,-1,No,Volskaya Industries,16:30,24,18.4,Bronze,10,10.8,None,01:33,01:33,Bronze,9245,5069,None,11241,6044,Gold,15,7.06
206,2294,2316,22,2304,2281,1,1,Tank,,Win,1,Enemy team,Junkertown,15:29,27,18.39,None,13,10.79,Bronze,03:27,01:33,Silver,6952,5066,None,0,6005,None,13,7.07
207,2316,2316,0,2307,2309,2,1,Support,,Draw,0,No,King's Row,20:52,44,22.03,Gold,25,13.17,Gold,03:47,01:34,Gold,11527,5466,None,20387,8176,Gold,17,6.56
208,2316,2295,-21,2312,2299,3,3,Support,,Loss,-1,No,Dorado,10:27,8,18.37,None,3,10.77,Silver,01:36,01:33,Bronze,2227,5058,None,8961,6049,Gold,7,7.07
209,2295,2320,25,2363,2362,2,2,Tank,,Win,1,No,Blizzard World,04:45,12,18.39,None,8,10.78,None,00:13,01:33,None,3263,5062,Silver,0,6038,None,3,7.07
210,2320,2301,-19,2287,2284,1,1,Support,,Loss,-1,No,Nepal,10:31,2,18.32,None,1,10.74,None,01:06,01:33,Bronze,1588,5048,None,13417,6067,Gold,7,7.07
