Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Team Stack,Enemy Stack,Role 1,Role 2,Result,Streak,Leaver?,Map,Match Time,Elim,Elim_career,Elim_medal,Obj_kills,Obj_kills_career,Obj_kills_medal,Obj_time,Obj_time_career,Obj_time_medal,Dmg,Dmg_career,Dmg_medal,Heal,Heal_career,Heal_medal,Death,Death_career
241,2408,2435,27,2391,2404,2,2,Support,,Win,1,No,Ilios,15:03,21,17.96,None,18,10.6,None,03:05,01:34,Silver,4058,4934,None,14266,6261,Gold,9,7.05
242,2435,2412,-23,2415,2397,2,2,Support,,Loss,-1,No,Oasis,07:42,8,17.95,None,5,10.59,None,01:09,01:34,Silver,3460,4933,None,7316,6270,Gold,9,7.07
243,2412,2388,-24,2394,2403,2,2,Support,,Loss,-2,No,Watchpoint: Gibraltar,18:45,23,17.91,None,9,10.55,None,01:46,01:34,None,3785,4914,None,19910,6298,Gold,15,7.07
244,2388,2369,-19,2372,2375,1,1,Support,,Loss,-3,No,Nepal,06:31,7,13.82,Silver,3,8.95,Bronze,00:26,01:44,Bronze,3008,3420,None,7691,8543,Gold,5,7.83
245,2369,2341,-28,2357,2362,1,1,Support,,Loss,-4,No,Temple of Anubis,08:00,2,17.85,None,0,10.51,None,00:32,01:34,Silver,1215,4905,None,5223,6312,Silver,9,7.08
246,2341,2363,22,2354,2345,2,3,Tank,,Win,1,No,Dorado,15:54,28,17.85,None,13,10.5,Silver,03:22,01:34,Silver,10488,4914,None,0,6277,None,8,7.07
247,2363,2383,20,2356,2344,2,2,Tank,,Win,2,No,Hollywood,20:57,23,17.8,None,11,10.46,None,05:22,01:34,Gold,8585,4909,None,0,6234,None,22,7.1
248,2383,2402,19,2362,2342,2,2,Tank,,Win,3,No,King's Row,16:29,24,17.79,None,16,10.46,Bronze,03:41,01:34,Gold,9344,4914,None,9,6200,None,10,7.09
249,2402,2421,19,2404,2414,3,3,Defense,Tank,Win,4,No,Horizon Lunar Colony,17:55,16,17.74,None,10,10.43,None,00:39,01:34,None,12448,4927,Silver,0,6165,None,11,7.09
250,2421,2441,20,2419,2419,1,1,Support,,Win,5,No,Hanamura,12:53,5,17.68,None,5,10.41,None,01:07,01:34,None,975,4910,None,11140,6175,Gold,11,7.1
251,2441,2413,-28,2426,2418,2,2,Tank,,Loss,-1,No,Watchpoint: Gibraltar,06:34,2,17.65,None,0,10.38,None,00:38,01:34,Bronze,1874,4905,None,8,6162,None,8,7.11
252,2413,2389,-24,2391,2381,2,2,Support,,Loss,-2,No,Hollywood,17:00,24,17.63,None,14,10.37,None,03:08,01:34,None,8698,4907,None,12119,6168,Silver,16,7.12
253,2389,2368,-21,2353,P,1,1,Support,,Loss,-3,No,Lijiang Tower,08:56,15,17.63,Silver,7,10.37,Silver,01:22,01:34,Bronze,2983,4903,None,7373,6175,Silver,11,7.14
254,2368,2393,25,2340,2346,2,3,Support,,Win,1,No,Route 66,14:47,38,22,Silver,23,13.14,Gold,02:42,01:34,Gold,7355,5420,None,13104,8438,Silver,11,6.54
255,2393,2421,28,2408,2408,1,1,Support,,Win,2,No,Horizon Lunar Colony,13:16,4,17.61,None,3,10.36,None,01:07,01:34,Gold,738,4884,None,16052,6214,Gold,6,7.13
256,2421,2396,-25,2403,2417,2,2,Offense,Support,Loss,-1,No,King's Row,09:13,8,17.58,None,3,10.33,None,00:26,01:34,None,2694,4879,None,1877,6201,Silver,10,7.14
257,2396,2368,-28,2416,2400,2,2,Offense,,Loss,-2,No,Ilios,13:53,21,17.57,None,7,10.31,None,00:36,01:33,None,7300,4881,None,0,6174,None,14,7.15
258,2368,2343,-25,2362,2363,1,1,Offense,Defense,Loss,-3,No,Volskaya Industries,09:01,8,17.55,Bronze,2,10.29,Bronze,00:23,01:33,Gold,4386,4881,Bronze,0,6156,None,9,7.16
259,2343,2369,26,2339,2309,3,4,Support,,Win,1,No,Hanamura,11:29,31,22.01,Bronze,9,13.09,Silver,00:33,01:33,Bronze,5911,5415,None,8833,8435,Gold,3,6.53
260,2369,2353,-16,P,2337,5,4,Support,,Loss,-1,No,Route 66,05:50,15,22.02,Gold,7,13.09,Gold,00:57,01:33,None,2995,5414,None,4925,8434,Silver,4,6.53
261,2353,2383,30,2365,2356,2,2,Support,,Win,1,No,Oasis,12:33,40,22.1,Gold,24,13.13,Gold,02:06,01:34,Gold,9164,5429,Bronze,10216,8434,Silver,6,6.52
262,2383,2407,24,2334,2357,2,2,Support,Tank,Win,2,No,Watchpoint: Gibraltar,21:11,3,17.63,None,23,10.32,Gold,04:06,01:33,Silver,8454,4887,None,6449,6154,Bronze,14,7.13
263,2407,2429,22,2455,2454,1,1,Support,,Win,3,No,King's Row,15:32,22,22.03,None,14,13.1,Bronze,02:07,01:33,Silver,6613,5419,None,14108,8440,Silver,12,6.53
264,2429,2450,21,2411,2416,2,2,Offense,Defense,Win,4,No,Lijiang Tower,10:48,23,17.63,Silver,10,10.31,None,00:45,01:33,None,7855,4892,None,0,6145,None,8,7.14
265,2450,2427,-23,2421,2436,2,2,Defense,Tank,Loss,-1,No,Watchpoint: Gibraltar,11:42,12,17.6,Bronze,7,10.3,Gold,02:23,01:33,Gold,6040,4893,Bronze,0,6125,None,14,7.15
266,2427,2404,-23,2413,2409,1,1,Support,,Loss,-2,No,Horizon Lunar Colony,13:16,16,21.96,None,12,13.07,Bronze,00:51,01:33,Bronze,7678,5422,Silver,10899,8439,Gold,10,6.54
267,2404,2383,-21,2413,2404,1,1,Support,,Loss,-3,My team,Hollywood,18:46,35,21.93,Silver,21,13.05,Gold,05:13,01:34,Silver,9871,5422,Bronze,14750,8435,Gold,14,6.55
268,2383,2408,25,2367,2358,2,2,Support,,Win,1,No,Junkertown,11:45,26,21.93,Silver,20,13.08,Gold,02:38,01:34,Silver,6940,5425,Bronze,6075,8413,Gold,8,6.55
269,2408,2435,27,2432,2446,1,5,Tank,Support,Win,2,No,Nepal,13:52,27,17.62,None,16,10.33,Bronze,02:02,01:33,Silver,6140,4902,None,7131,6138,Silver,11,7.16
270,2435,2411,-24,2403,2410,3,4,Tank,,Loss,-1,No,Route 66,15:19,14,17.58,None,7,10.3,Silver,03:01,01:33,Gold,6689,4899,Bronze,0,6109,None,13,7.17
271,2411,2432,21,2365,2377,2,3,Offense,Defense,Win,1,No,Numbani,18:04,34,17.58,None,17,10.3,None,02:00,01:33,None,16159,4922,Silver,0,6075,None,13,7.17
272,2432,2409,-23,2378,2362,3,4,Defense,Offense,Loss,-1,No,Route 66,16:55,42,17.62,Gold,28,10.33,Gold,01:35,01:33,None,16860,4948,Silver,361,6045,None,16,7.18
273,2409,2388,-21,2413,2414,1,1,Support,,Loss,-2,No,Ilios,13:45,23,17.62,Bronze,20,10.35,Gold,02:18,01:33,None,6496,4947,None,12331,6058,Gold,12,7.19
274,2388,2366,-22,2372,2376,2,2,Defense,Support,Loss,-3,No,Blizzard World,13:01,14,17.59,None,9,10.34,None,02:15,01:33,None,5905,4946,None,5885,6052,Silver,15,7.2
275,2366,2392,26,2326,2327,1,1,Support,,Win,1,No,Hollywood,12:04,33,17.63,None,22,10.36,Bronze,03:56,01:34,Silver,6149,4947,None,10199,6061,Silver,7,7.2
276,2392,2365,-27,2368,2361,1,1,Tank,Offense,Loss,-1,No,Eichenwalde,14:34,14,17.59,Bronze,8,10.34,Silver,01:09,01:33,None,6094,4943,Bronze,0,6035,None,16,7.22
277,2365,2345,-20,2400,2408,3,2,Support,,Loss,-2,No,Oasis,08:10,7,17.57,None,4,10.33,Silver,01:03,01:33,Gold,2256,4938,None,6578,6040,Gold,8,7.22
278,2345,2366,21,2341,2340,2,3,Support,,Win,1,No,Temple of Anubis,12:37,17,13.67,None,13,8.93,None,02:32,01:44,Gold,3742,3336,None,8578,8436,Silver,6,7.85
279,2366,2345,-21,2349,2356,3,3,Support,,Loss,-1,No,Route 66,17:42,34,17.57,Bronze,24,10.35,Gold,03:43,01:34,Silver,7088,4926,None,15757,6058,Gold,11,7.21
280,2345,2370,25,2341,2346,2,2,Support,,Win,1,No,King's Row,14:43,3,17.5,None,1,10.31,None,02:46,01:34,Gold,1084,4908,None,19599,6090,Gold,7,7.2
281,2370,2347,-23,2357,2357,1,1,Support,,Loss,-1,No,Oasis,07:12,6,13.56,None,3,8.83,Silver,00:42,01:43,Bronze,2228,3333,None,4479,8393,Gold,9,7.95
282,2347,2325,-22,2347,2323,3,3,Tank,Support,Loss,-2,No,Eichenwalde,10:32,17,17.48,None,11,10.3,Bronze,03:29,01:34,Gold,4979,4904,None,2408,6079,Silver,12,7.22
283,2325,2343,18,2315,2310,2,3,Tank,,Win,1,No,Hanamura,11:08,16,11.33,None,9,6.05,None,01:32,02:13,Silver,6536,4686,Bronze,0,0,None,7,9.41
284,2343,2366,23,2367,2365,2,2,Offense,,Win,2,No,Blizzard World,15:37,32,17.48,Silver,17,10.29,Gold,02:40,01:34,Silver,13611,4925,Silver,1032,6035,Bronze,9,7.21
285,2366,2343,-23,2390,2389,1,2,Support,,Loss,-1,My team,Temple of Anubis,12:56,20,17.48,Gold,13,10.29,Gold,04:04,01:34,Gold,10579,4938,Gold,10033,6042,Gold,7,7.21
286,2343,2366,23,2335,2352,1,2,Tank,,Win,1,Enemy team,Oasis,12:13,29,13.24,Bronze,18,6.43,Bronze,03:33,01:34,Silver,7378,4953,None,0,3.61,None,7,7.71
287,2366,2389,23,2352,2357,1,1,Tank,Support,Win,2,No,Hanamura,15:58,31,17.51,None,23,10.33,Bronze,01:33,01:34,None,7277,4941,None,9367,6021,Gold,11,7.2
288,2389,2367,-22,2358,2360,1,1,Support,,Loss,-1,No,Horizon Lunar Colony,,,,,,,,,,,,,,,,,,
289,2367,2395,28,2359,2335,2,2,Tank,,Win,1,No,Dorado,10:47,29,12.22,Silver,14,6.3,Gold,03:31,02:13,Gold,8133,4897,Bronze,0,0,None,7,9.23
290,2395,2422,27,2412,2409,1,2,Support,,Win,2,No,Watchpoint: Gibraltar,13:39,27,13.82,None,15,9.01,Gold,03:11,01:49,Gold,6400,3519,None,17227,8533,Silver,9,7.81
291,2422,2401,-21,2423,2425,2,2,Support,,Loss,-1,No,Numbani,17:13,22,13.78,None,14,8.98,Gold,03:35,01:50,Gold,6311,3526,None,11321,8447,Gold,14,7.83
292,2401,2377,-24,2413,2373,3,2,Support,,Loss,-2,No,Horizon Lunar Colony,12:26,18,13.8,None,4,8.8,Gold,00:33,01:47,Gold,4344,3527,None,9008,,Gold,10,7.84
293,2377,2404,27,2344,2349,3,2,Support,,Win,1,No,Lijiang Tower,06:13,15,21.82,None,12,13.13,Bronze,01:13,01:34,None,2367,5389,None,5723,8446,Silver,4,6.58
294,2404,2381,-23,2379,P,5,6,Support,,Loss,-1,No,Junkertown,06:22,3,17.48,None,2,10.3,Bronze,00:48,01:35,None,1729,4929,None,6341,6060,Gold,7,7.21
295,2381,2404,23,2354,2322,3,3,Support,,Win,1,No,Hanamura,11:59,21,13.9,None,13,8.84,None,02:36,01:47,Gold,3235,3498,None,11085,8454,Silver,9,7.84
296,2404,2427,23,2414,2399,3,4,Support,,Win,2,No,Nepal,10:07,19,17.48,None,12,10.3,None,01:20,01:35,Bronze,4028,4919,None,5855,6071,Silver,8,7.22
297,2427,2447,20,2383,2395,5,6,Tank,,Win,3,No,Oasis,13:45,13,17.46,None,11,10.3,None,02:53,01:35,Bronze,6264,4918,None,0,6048,None,14,7.23
298,2447,2424,-23,2421,2416,2,2,Support,,Loss,-1,No,Oasis,07:21,3,17.43,Bronze,2,10.28,Silver,00:43,01:35,Bronze,3364,4918,Bronze,4089,6047,Silver,10,7.24
299,2424,2405,-19,2453,2382,3,3,Support,,Loss,-2,No,Blizzard World,18:34,32,17.43,Bronze,20,10.28,Gold,04:37,01:35,Gold,9094,4918,None,20847,6074,Gold,18,7.26
300,2405,2385,-20,2390,2370,2,3,Support,Offense,Loss,-3,No,Route 66,05:33,6,17.42,Gold,3,10.28,Gold,00:56,01:35,Gold,3807,4921,None,3479,6074,Silver,6,7.26
301,2385,2361,-24,2370,2383,2,2,Defense,,Loss,-4,No,Hollywood,05:12,4,16.49,Gold,4,7.49,Gold,00:11,00:48,Silver,4976,8099,Gold,0,0,None,6,8.3
302,2361,2384,23,2416,2404,4,3,Support,,Win,1,No,Route 66,13:03,21,13.96,None,10,8.76,Bronze,02:39,01:50,Gold,4127,3524,None,11716,8476,Silver,8,7.98
303,2384,2406,22,2364,2357,2,2,Support,,Win,2,No,King's Row,05:37,13,14.08,Bronze,10,8.88,Silver,00:43,01:50,Silver,2068,3527,None,5034,8485,Silver,2,7.92
304,2406,2435,29,2403,2385,1,2,Support,,Win,3,No,Nepal,09:34,17,14.16,None,10,8.91,Silver,01:38,01:50,Gold,3625,3533,None,10764,8544,Silver,7,7.91
305,2435,2453,18,2386,2402,2,2,Tank,,Win,4,No,Temple of Anubis,17:01,18,17.38,None,15,10.27,Silver,01:34,01:35,Gold,8117,4916,None,0,6067,None,13,7.26
306,2453,2480,27,2545,2538,2,2,Support,,Win,5,No,Horizon Lunar Colony,10:46,16,17.37,None,8,10.26,Gold,00:44,01:35,Gold,5045,4916,None,6426,6067,Silver,4,7.25
307,2480,2503,23,P,P,2,2,Tank,,Win,6,No,Oasis,12:09,16,17.37,None,9,10.26,None,02:40,01:35,Bronze,6011,4920,None,0,6048,None,9,7.25
308,2503,2482,-21,2479,2477,1,1,Tank,,Loss,-1,No,Temple of Anubis,12:16,16,17.36,Bronze,13,10.26,Gold,02:56,01:35,Gold,8421,4926,Bronze,0,6028,None,12,7.26
309,2482,2456,-26,2447,2457,2,2,Support,,Loss,-2,No,Junkertown,15:20,10,17.31,None,3,10.22,None,02:17,01:35,Bronze,3378,4915,None,9435,6029,Silver,19,7.28
310,2456,2480,24,2476,2481,2,2,Support,,Win,1,Enemy team,Numbani,10:03,16,21.74,None,10,13.1,Silver,02:32,01:35,Silver,1770,5366,None,8639,8466,Silver,3,6.57
311,2480,2457,-23,2477,2484,2,3,Tank,,Loss,-1,No,Hollywood,16:46,33,17.32,None,24,10.24,Gold,06:07,01:36,Bronze,9571,4911,None,300,6010,None,11,7.27
312,2457,2480,23,2465,2466,2,2,Support,,Win,1,No,King's Row,16:39,26,17.31,None,13,10.23,None,02:41,01:36,None,9473,4914,None,14859,6023,Silver,9,7.26
313,2480,2456,-24,2471,2471,2,1,Support,,Loss,-1,No,Watchpoint: Gibraltar,05:12,3,17.3,None,0,10.22,None,00:19,01:36,None,2369,4914,None,3280,6024,Silver,4,7.26
314,2456,2428,-28,2469,2449,3,4,Tank,,Loss,-2,No,Ilios,08:31,7,17.28,None,4,10.21,None,00:53,01:36,Silver,2335,4909,None,0,6010,None,8,7.27
